trigram,frequency,percentage
ver,125720,0.013813651078073499
Sch,111593,0.012261428291086987
Ver,94404,0.010372764209150896
sch,73631,0.008090303392695114
ein,65716,0.007220632311857127
Sta,48669,0.005347570667505242
ges,46531,0.005112655093174021
bes,46361,0.00509397611860138
Ein,43890,0.004822471729371985
Vor,40758,0.004478339091951318
Aus,39045,0.0042901209540517
Pro,38516,0.00423199638023448
vor,38171,0.00419408904948412
Fra,37680,0.00414013977586549
aus,36808,0.004044327623939941
all,36412,0.004000816600817788
Ges,36260,0.003984115400023426
Ber,35916,0.00394631794559408
Str,35657,0.0039178599784510555
auf,34577,0.0037991935517542744
wei,34531,0.0037941392409875595
Die,34278,0.0037663405317706284
Lan,33347,0.003664045676905162
ent,33009,0.00362690748040191
Mit,32195,0.0035374681550952615
Mar,30431,0.003343646324823852
sta,29312,0.0032206947216074644
ste,28867,0.0031717997587555496
ers,27982,0.003074559214656798
übe,27558,0.0030279716545462097
Spi,27095,0.0029770989179160154
Unt,26869,0.0029522668693665035
Man,26764,0.002940729855659872
Bun,26337,0.002893812666586237
Fre,24954,0.0027418537146217475
gew,24930,0.0027392166829173746
die,24738,0.002718120429282391
Reg,24633,0.00270658341557576
vie,24623,0.0027054846523656044
Kon,24209,0.0026599958554651714
ang,23955,0.0026320872699272246
Auf,23606,0.0025937404338928017
Ang,23378,0.002568688632701259
Ste,23008,0.0025280343939255096
dar,22927,0.002519134411923251
Par,22439,0.002465514767267668
der,21902,0.002406511182882324
Nac,21869,0.0024028852642888113
Kri,21476,0.0023597038701297047
202,21340,0.0023447606904715913
unt,20848,0.0022907015405319465
kom,20643,0.002268176894723761
and,20630,0.002266748502550559
jed,20473,0.0022494979201511194
geb,20449,0.0022468608884467466
Bes,20369,0.0022380707827655034
hin,20159,0.0022149967553522403
Her,19811,0.002176759795638833
Tag,19713,0.0021659919161793103
Wer,19667,0.0021609376054125954
geh,19577,0.002151048736521197
Mon,19522,0.0021450055388653423
gro,19381,0.0021295129776021516
den,19240,0.0021140204163389606
lie,19119,0.0021007253814960803
kon,18951,0.00208226615956547
Wei,18921,0.0020789698699350038
meh,18901,0.002076772343514693
Hau,18720,0.0020568847294108804
sol,18298,0.0020105169219423232
gef,18278,0.0020083193955220124
Tra,18211,0.0020009576820139716
Kin,17997,0.0019774441493166464
ger,17963,0.0019737083544021177
Han,17933,0.0019704120647716515
deu,17872,0.001963709609189704
Wel,17709,0.0019457997688641711
gen,17628,0.0019368997868619124
Ent,17442,0.0019164627911530223
kön,17197,0.0018895430925042155
Sei,17157,0.001885148039663594
bei,16993,0.0018671283230170456
Stu,16851,0.0018515258854328392
Pre,16686,0.0018333962924652752
ber,16656,0.001830100002834809
Pol,16651,0.0018295506212297314
bek,16437,0.0018060370885324062
bet,16431,0.0018053778306063128
Gru,16278,0.0017885667534909356
Woc,16249,0.001785380340181485
Pla,16211,0.0017812050399828945
lan,16123,0.001771535923733527
Fah,16003,0.0017583507652116624
Cor,15779,0.0017337384693041817
wen,15749,0.0017304421796737156
mit,15540,0.001707478028581468
gel,15286,0.0016795694430435213
Was,15275,0.0016783608035123505
nic,15120,0.001661329973754942
Son,15081,0.001657044797235336
Min,14967,0.0016445188966395647
gem,14912,0.00163847569898371
Aut,14838,0.00163034485122856
Int,14733,0.0016188078375219286
For,14726,0.0016180387032748197
Bei,14574,0.001601337502480458
Kre,14421,0.0015845264253650806
mei,14415,0.0015838671674389872
wol,14235,0.0015640894296561905
Neu,14218,0.0015622215321989263
Lei,14217,0.0015621116558779107
her,14058,0.0015446413208364401
Bet,14034,0.001542004289132067
Inf,14028,0.001541345031205974
Zei,14024,0.0015409055259219117
The,13996,0.0015378289889334768
Den,13989,0.001537059854686368
zur,13952,0.001532994430808793
kei,13846,0.001521347540781146
zei,13838,0.0015204685302130216
Arb,13819,0.0015183808801137264
eig,13571,0.0014911315525018727
lau,13421,0.0014746501043495421
Übe,13398,0.0014721229489661847
Per,13343,0.00146607975131033
Leb,13189,0.0014491587978739371
erh,13163,0.001446302013527533
beg,13040,0.001432787226042622
wer,12895,0.0014168551594953688
zus,12856,0.0014125699829757629
201,12769,0.001403010743047411
All,12712,0.0013967477927495254
Ger,12630,0.0013877379344262512
geg,12602,0.001384661397437816
fin,12582,0.0013824638710175053
Jah,12534,0.0013771898076087594
Ins,12479,0.0013711466099529048
Kra,12384,0.0013607083594564286
erk,12259,0.0013469738193294864
abg,12253,0.001346314561403393
uns,12229,0.0013436775296990203
Zus,12092,0.0013286244737198915
wür,12036,0.0013224713997430212
Hei,12026,0.0013213726365328658
Akt,11991,0.001317526965297322
Eur,11990,0.0013174170889763066
zwe,11935,0.001311373891320452
Bau,11836,0.0013004961355399137
Nat,11806,0.0012971998459094475
erf,11709,0.0012865418427709403
Ene,11630,0.0012778616134107126
Gas,11624,0.0012772023554846195
Deu,11595,0.0012740159421751687
Cha,11595,0.0012740159421751687
Rei,11585,0.0012729171789650133
lei,11558,0.0012699505182975938
Tei,11492,0.0012626986811105684
akt,11448,0.0012578641229858845
Bra,11438,0.0012567653597757291
Kar,11427,0.0012555567202445583
Lau,11390,0.0012514912963669834
Gel,11347,0.0012467666145633152
nac,11264,0.0012376468799190255
000,11227,0.0012335814560414506
rus,11226,0.0012334715797204352
neu,11195,0.0012300654137689534
pro,11174,0.0012277580110276272
off,11128,0.0012227037002609123
let,11120,0.001221824689692788
bis,11102,0.0012198469159145082
Mai,11096,0.001219187657988415
Wie,11076,0.0012169901315681043
Mil,10996,0.0012082000258868612
Abs,10883,0.0011957840016121053
Kom,10847,0.001191828454055546
ihn,10808,0.00118754327753594
Ans,10673,0.0011727099741988423
fre,10673,0.0011727099741988423
Jäh,10641,0.0011691939319263451
Vie,10629,0.0011678754160741587
Ant,10462,0.0011495260704645638
mög,10455,0.0011487569362174548
Mus,10453,0.0011485371835754238
Prä,10391,0.0011417248516724604
Bür,10383,0.001140845841104336
Nor,10382,0.0011407359647833207
rec,10324,0.0011343631381644194
heu,10313,0.0011331544986332483
dur,10277,0.001129198951076689
son,10216,0.0011224964954947411
mac,10202,0.0011209582270005237
Bil,10182,0.0011187607005802129
Win,10118,0.0011117286160352185
Grü,10095,0.001109201460651861
Aug,10050,0.0011042570262061618
Mal,10006,0.0010994224680814782
Gra,9945,0.0010927200124995302
Jun,9925,0.0010905224860792194
Don,9896,0.0010873360727697689
sie,9830,0.0010800842355827435
Gem,9762,0.0010726126457536868
Gew,9668,0.0010622842715782262
Kli,9657,0.0010610756320470552
ble,9654,0.0010607460030840085
tei,9645,0.0010597571161948688
erw,9640,0.001059207734589791
Sam,9617,0.0010566805792064336
Fal,9602,0.0010550324343912005
Chr,9584,0.0010530546606129208
Wir,9553,0.0010496484946614392
Dan,9544,0.0010486596077722992
füh,9535,0.0010476707208831595
Med,9495,0.001043275668042538
hei,9455,0.0010388806152019164
Gro,9421,0.0010351448202873881
Kan,9418,0.0010348151913243415
Fin,9377,0.0010303102621627045
Sti,9377,0.0010303102621627045
wir,9371,0.0010296510042366112
hät,9315,0.001023497930259741
nie,9298,0.0010216300328024768
Weg,9297,0.0010215201564814614
Wen,9293,0.0010210806511973991
wic,9281,0.0010197621353452127
Geg,9258,0.0010172349799618553
int,9246,0.0010159164641096688
kam,9240,0.0010152572061835757
Gen,9224,0.001013499185047327
ins,9217,0.0010127300508002183
sog,9215,0.0010125102981581873
Sie,9206,0.0010115214112690473
Lin,9184,0.0010091041322067055
Uni,9126,0.0010027313055878042
Tea,9092,0.000998995510673276
tra,9082,0.0009978967474631205
sic,9082,0.0009978967474631205
Spr,9068,0.000996358478968903
gut,9056,0.0009950399631167167
Sic,9047,0.0009940510762275767
for,9042,0.000993501694622499
Geb,9013,0.0009903152813130485
Woh,9003,0.000989216518102893
Hin,8966,0.0009851510942253182
Kun,8963,0.0009848214652622715
fes,8961,0.0009846017126202405
des,8911,0.0009791078965694635
bra,8861,0.0009736140805186866
bef,8855,0.0009729548225925934
gab,8802,0.0009671313775787698
ebe,8793,0.0009661424906896299
wel,8683,0.0009540560953779207
Kla,8615,0.000946584505548864
Imp,8528,0.0009370252656205122
Alt,8500,0.0009339487286320772
kur,8498,0.000933728975990046
kle,8481,0.0009318610785327819
kla,8474,0.0009310919442856732
Dor,8456,0.0009291141705073935
And,8429,0.0009261475098399739
Feu,8421,0.0009252684992718496
ihr,8389,0.0009217524569993524
Jan,8362,0.0009187857963319329
Pan,8358,0.0009183462910478707
Als,8346,0.0009170277751956843
Hal,8317,0.0009138413618862336
war,8314,0.000913511732923187
Ric,8291,0.0009109845775398296
Kur,8280,0.0009097759380086587
Rüc,8257,0.0009072487826253013
mus,8239,0.0009052710088470217
las,8197,0.000900656203364369
War,8176,0.0008983488006230427
Ort,8151,0.0008956018925976542
Wah,8149,0.0008953821399556232
doc,8134,0.0008937339951403901
Met,8102,0.0008902179528678929
sei,8067,0.000886372281632349
Ers,8045,0.0008839550025700071
Spo,8029,0.0008821969814337585
spr,8015,0.000880658712939541
Rec,7990,0.0008779118049141526
Lie,7989,0.000877801928593137
bri,7964,0.0008750550205677486
daz,7957,0.0008742858863206397
bed,7957,0.0008742858863206397
Mär,7943,0.0008727476178264222
Bay,7924,0.000870659967727127
Wal,7917,0.0008698908334800182
Zah,7909,0.000869011822911894
spi,7909,0.000869011822911894
Pri,7908,0.0008689019465908784
Fuß,7893,0.0008672538017756453
gle,7888,0.0008667044201705677
wie,7835,0.000860880975156744
Che,7819,0.0008591229540204954
Jul,7817,0.0008589032013784644
erl,7772,0.0008539587669327652
hat,7762,0.0008528600037226098
bew,7757,0.0008523106221175321
Qua,7752,0.0008517612405124544
Ban,7750,0.0008515414878704232
dor,7680,0.0008438501453993356
jäh,7661,0.0008417624953000404
grö,7659,0.0008415427426580093
seh,7643,0.0008397847215217606
Zwe,7634,0.0008387958346326209
Spa,7631,0.0008384662056695742
