title,issue,issue_normalized,link,download_links,release_converted,group,origin,language,source
64'er,64'er Magazin 85 01 (1985)(Markt & Technik)(de),64'er 1-85,https://archive.org/details/64er_Magazin_85-01_1985_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er,64'er Magazin 84 10 (1984)(Markt & Technik)(de),64'er 10-84,https://archive.org/details/64er_Magazin_84-10_1984_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er,64'er Magazin 84 11 (1984)(Markt & Technik)(de),64'er 11-84,https://archive.org/details/64er_Magazin_84-11_1984_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er,64'er Magazin 84 12 (1984)(Markt & Technik)(de),64'er 12-84,https://archive.org/details/64er_Magazin_84-12_1984_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er,64'er Magazin 85 02 (1985)(Markt & Technik)(de),64'er 2-85,https://archive.org/details/64er_Magazin_85-02_1985_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er,64'er Magazin 85 03 (1985)(Markt & Technik)(de),64'er 3-85,https://archive.org/details/64er_Magazin_85-03_1985_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er,64'er Magazin 84 04 (1984)(Markt & Technik)(de),64'er 4-84,https://archive.org/details/64er_Magazin_84-04_1984_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er,64'er Magazin 85 04 (1985)(Markt & Technik)(de),64'er 4-85,https://archive.org/details/64er_Magazin_85-04_1985_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er,64'er Magazin 85 05 (1985)(Markt & Technik)(de),64'er 5-85,https://archive.org/details/64er_Magazin_85-05_1985_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er,64'er Magazin 85 06 (1985)(Markt & Technik)(de),64'er 6-85,https://archive.org/details/64er_Magazin_85-06_1985_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er Sonderheft,64'er Magazin Sonderheft #01 86 01 (19xx)(Markt & Technik)(de),64'er Sonderheft 1-86,https://archive.org/details/64er_Magazin_Sonderheft_01_86-01_19xx_Markt_Technik_de,,,,Germany,English; German,Internet Archive
64'er Sonderheft,64'er Magazin Sonderheft #10 86 10 (1986)(Markt & Technik)(de)(Side A),64'er Sonderheft 10-86,https://archive.org/details/64er_Magazin_Sonderheft_10_86-10_1986_Markt_Technik_de_Side_A,,,,Germany,English; German,Internet Archive
64'er Sonderheft,64'er Magazin Sonderheft #10 86 10 (1986)(Markt & Technik)(de)(Side B),64'er Sonderheft 10-86,https://archive.org/details/64er_Magazin_Sonderheft_10_86-10_1986_Markt_Technik_de_Side_B,,,,Germany,English; German,Internet Archive
64'er Sonderheft,64'er Magazin Sonderheft #02 86 02 (1986)(Markt & Technik)(de),64'er Sonderheft 2-86,https://archive.org/details/64er_Magazin_Sonderheft_02_86-02_1986_Markt_Technik_de,,,,Germany,English; German,Internet Archive
