trigram,frequency,percentage
übe,27561,0.022298507607592867
füh,27515,0.022261290839335212
rüc,24968,0.02020061456211236
tät,24464,0.019792848231637166
rün,18103,0.014646416429746878
kön,17661,0.014288811830401569
räs,17606,0.014244313520528283
oße,17387,0.014067129341214658
aße,17108,0.013841401551130176
mög,16410,0.013276677545829214
hör,16405,0.013272632244931642
für,16095,0.013021823589282219
län,16002,0.01294658099258739
wür,15108,0.01222328119210163
tän,14736,0.011922310805322321
lär,14583,0.011798524597856637
hät,13722,0.011101923783294849
Übe,13399,0.01084059734531174
uße,12768,0.010330080372038234
häf,12723,0.01029367266396009
rüh,12482,0.010098689160697151
näc,12425,0.010052572730464837
tär,12137,0.009819563398764728
jäh,11534,0.009331700110517621
wäh,11494,0.00929933770333705
kün,11311,0.009151279690485938
wär,11124,0.008999985436916769
rän,10855,0.00878234824862743
tür,10800,0.008737849938754145
Jäh,10641,0.008609209370211375
Bür,10389,0.008405326204973779
lüc,10166,0.008224905784942095
fäl,10096,0.008168271572376096
höh,9422,0.007622965011383476
räg,9107,0.007368111054836481
röß,9058,0.0073284671060402816
hän,9048,0.007320376504245139
tüt,8975,0.007261315111140597
eße,8667,0.007012124575850201
dür,8658,0.007004843034234573
pät,8483,0.006863257502819574
läs,8459,0.006843840058511232
Rüc,8260,0.006682837082787892
räf,8088,0.006543678731911437
häl,8070,0.00652911564868018
Mär,7943,0.006426365005881868
fäh,7933,0.006418274404086725
läu,7861,0.006360022071161697
Mün,7602,0.0061504754846675004
sät,7207,0.005830896713759363
lös,7195,0.005821187991605191
hüt,7105,0.005748372575448907
fün,7105,0.005748372575448907
müs,7073,0.00572248264970445
zäh,6647,0.00537782301323137
füg,6537,0.0052888263934848
rät,6474,0.005237855602175401
ußb,6342,0.005131059658479517
Län,6333,0.005123778116863888
röf,6217,0.005029927136040233
rüb,6147,0.0049732929234742335
räc,5956,0.004818762429187008
häu,5808,0.0046990215226188955
aßn,5702,0.004613261143590382
käm,5406,0.0043737793304541575
hön,5303,0.004290446131964188
räu,5298,0.004286400831066617
ißt,5231,0.00423219379903916
öff,5180,0.004190931729883932
völ,5106,0.004131061276599876
Öst,5050,0.004085753906547077
gän,4997,0.00404287371703282
nüb,4967,0.004018601911647392
Wäh,4825,0.0039037153661563655
päi,4781,0.0038681167182577376
tüc,4695,0.00379853754281951
Höh,4671,0.0037791200985111675
rüf,4583,0.0037079228027139116
läc,4534,0.0036682788539177122
Süd,4449,0.003599508738658999
mäß,4398,0.003558246669503771
eßl,4192,0.0033915802725238307
möc,4169,0.0033729718883950027
häd,4169,0.0033729718883950027
iße,4160,0.003365690346779374
täd,4159,0.00336488128659986
säc,4145,0.00335355444408666
nöt,4114,0.0033284735785217177
Mög,4041,0.0032694121854171757
Män,4040,0.0032686031252376615
hül,4037,0.0032661759446991185
Füh,4033,0.0032629397039810617
bäu,3957,0.0032014511303379766
Kön,3941,0.0031885061674657485
bür,3850,0.0031148816911299496
läg,3749,0.0030331666129990082
tör,3748,0.003032357552819494
Fäl,3738,0.003024266951024351
lät,3699,0.0029927136040232946
Mül,3534,0.0028592186744034395
Lös,3533,0.0028584096142239253
Köl,3355,0.0027143969022703847
fül,3208,0.0025954650558817865
Tür,3206,0.002593846935522758
Tät,3178,0.0025711932504963583
lüs,3142,0.0025420670840338444
Kün,3118,0.0025226496397255022
här,3061,0.0024765332094931884
Gäs,3036,0.0024563067050053316
rös,3020,0.0024433617421331035
näh,2933,0.0023729735065153618
kür,2913,0.002356792302925076
jün,2889,0.002337374858616734
för,2875,0.0023260480161035337
sön,2757,0.0022305789149208496
rüs,2575,0.002083329962249252
Büh,2571,0.002080093721531195
För,2544,0.0020582490966843097
wün,2505,0.0020266957496832528
fän,2491,0.002015368907170053
när,2460,0.0019902880416051106
wöl,2453,0.0019846246203485108
täg,2446,0.001978961199091911
Hän,2426,0.0019627799955016256
höc,2424,0.0019611618751425967
Kör,2337,0.001890773639524855
wäc,2331,0.0018859192784477694
äuß,2235,0.0018082495012143992
züg,2181,0.0017645602515206286
ähn,2159,0.0017467609275713147
Öff,2078,0.0016812270530306586
wöh,2074,0.0016779908123126014
gün,2036,0.001647246525491059
Wür,2032,0.001644010284773002
Näh,2031,0.0016432012245934876
pür,1977,0.001599511974899717
änd,1952,0.0015792854704118602
löt,1914,0.0015485411835903177
kör,1911,0.001546114003051775
ÖVP,1892,0.0015307418596410037
übr,1892,0.0015307418596410037
Häl,1834,0.001483816369229176
lüg,1813,0.0014668261054593763
öst,1810,0.0014643989249208335
däc,1796,0.0014530720824076336
näm,1791,0.0014490267815100624
Mäd,1773,0.0014344636982788054
Bör,1742,0.001409382832713863
wäl,1730,0.0013996741105596917
töt,1688,0.0013656935830200921
hür,1688,0.0013656935830200921
täu,1684,0.001362457342302035
müh,1652,0.0013365674165575785
Ärz,1647,0.001332522115660007
ält,1638,0.0013252405740443785
büh,1617,0.0013082503102745788
män,1590,0.0012864056854276936
zös,1589,0.0012855966252481791
tüm,1531,0.0012386711348363515
Düs,1499,0.0012127812090918946
Nür,1496,0.0012103540285533518
mär,1487,0.0012030724869377233
oßb,1472,0.0011909365842450092
eßt,1452,0.0011747553806547239
Häu,1445,0.001169091959398124
gül,1427,0.001154528876166867
Fün,1397,0.0011302570707814388
Zür,1394,0.001127829890242896
bün,1384,0.0011197392884477533
röd,1304,0.0010550144740866115
Jür,1286,0.0010404513908553546
Für,1274,0.0010307426687011833
Sän,1258,0.001017797705828955
Wär,1247,0.001008898043854298
aßl,1242,0.0010048527429567266
Räu,1239,0.0010024255624181838
Gün,1225,0.0009910987199049839
läd,1222,0.0009886715393664413
rüß,1209,0.0009781537570327555
Küh,1195,0.0009668269145195558
süd,1186,0.0009595453729039274
mün,1185,0.0009587363127244131
rüg,1183,0.0009571181923653845
Änd,1169,0.0009457913498521847
Bäu,1166,0.0009433641693136419
hüs,1146,0.0009271829657233565
küm,1145,0.0009263739055438421
küh,1133,0.0009166651833896708
Höc,1119,0.000905338340876471
Müh,1111,0.0008988658594403569
höp,1092,0.0008834937160295857
nüg,1080,0.0008737849938754144
bän,1064,0.0008608400310031861
Lüb,1049,0.000848704128310472
Öko,1047,0.0008470860079514435
Kür,1043,0.0008438497672333863
zög,1036,0.0008381863459767865
ußg,1018,0.0008236232627455295
käu,1003,0.0008114873600528154
eöf,993,0.0008033967582576727
wäs,992,0.0008025876980781584
Bün,990,0.0008009695777191299
Büc,986,0.0007977333370010728
säu,972,0.000786406494487873
mäc,970,0.0007847883741288445
töß,970,0.0007847883741288445
tün,960,0.0007766977723337017
süb,948,0.0007669890501795305
